ruleId,layer,stage,implLevel,severity,runtimeHandler,checklistId
P1,P,P0,checklist,BLOCK,,
P2,P,P0,checklist,BLOCK,,
P3,P,P0,checklist,BLOCK,,
P4,P,P0,checklist,BLOCK,,
P5,P,P0,checklist,BLOCK,,
P6,P,P0,checklist,BLOCK,,
P7,P,P0,checklist,BLOCK,,
P8,P,P0,checklist,BLOCK,,
P9,P,P0,checklist,BLOCK,,
P10,P,P0,checklist,BLOCK,,
P11,P,P0,checklist,BLOCK,,
P12,P,P0,checklist,BLOCK,,
P13,P,P03,checklist,WARN,,
P14,P,P03,checklist,WARN,,
P15,P,P03,checklist,WARN,,
P16,P,P0,checklist,WARN,,
P17,P,P0,checklist,WARN,,
P18,P,P0,checklist,WARN,,
G1,G,G,structured,BLOCK,,
G2,G,G,structured,BLOCK,,
G3,G,G,structured,BLOCK,,
G4,G,G,structured,BLOCK,,
G5,G,G,structured,BLOCK,,
W1,W,W1,structured,WARN,,
W2,W,W1,structured,WARN,,
W3,W,W1,structured,WARN,,
W4,W,W1,structured,WARN,,
W5,W,W1,structured,WARN,,
W6,W,W2,structured,WARN,,
W7,W,W2,structured,WARN,,
W8,W,W2,structured,WARN,,
W9,W,W2,structured,WARN,,
W10,W,W2,structured,WARN,,
W11,W,W2,structured,WARN,,
W12,W,W2,structured,WARN,,
W13,W,W2,structured,WARN,,
W14,W,W2,structured,WARN,,
W15,W,W2,structured,WARN,,
W16,W,W3,structured,WARN,,
W17,W,W3,checklist,WARN,,
W18,W,W3,checklist,WARN,,
W19,W,W3,checklist,WARN,,
W20,W,W3,checklist,WARN,,
W21,W,W3,checklist,WARN,,
W22,W,W3,checklist,WARN,,
W23,W,W3,checklist,WARN,,
W24,W,W3,checklist,WARN,,
W25,W,W3,checklist,WARN,,
W26,W,W3,checklist,WARN,,
W27,W,W3,checklist,WARN,,
W28,W,W3,checklist,WARN,,
W29,W,W3,checklist,WARN,,
W30,W,W3,checklist,WARN,,
W31,W,W3,checklist,WARN,,
W32,W,W3,checklist,WARN,,
W33,W,W3,checklist,WARN,,
W34,W,W3,checklist,WARN,,
W35,W,W3,checklist,WARN,,
W36,W,W3,checklist,WARN,,
W37,W,W3,checklist,WARN,,
W38,W,W3,checklist,WARN,,
